capability_run_id,task_id,task_name_cn,capability_dimension,difficulty,task_weight,model_id,provider,region,started_at,completed_at,repeat_index,status_code,latency_ms,ttft_ms,response_text,function_name,task_score,passed,evaluation_evidence,evaluator_type,evaluator_confidence,input_tokens,output_tokens,total_tokens,estimated_cost,error_type,environment_id,input_hash,expected_output_version,traffic_type,data_origin,cost_origin,config_version
CAPRUN-0005041,CAP-TASK-004,标准工具调用,tool_call,basic,1.0,Minimax-M2.5,MiniMax,cn-east,2026-04-23 00:00:00,2026-04-23 00:00:00.892,1,200,892,285,,get_weather,100.0,True,工具名称匹配,tool_name,100.0,10,5,15,3.6e-05,,calibration-standard-v1,0d631558ac1fca29,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0007921,CAP-TASK-004,标准工具调用,tool_call,basic,1.0,Qwen3.6-35B-A3B,Qwen,cn-east,2026-04-23 00:00:00,2026-04-23 00:00:00.705,1,200,705,218,,get_weather,100.0,True,工具名称匹配,tool_name,100.0,10,5,15,2.4e-05,,calibration-standard-v1,0d631558ac1fca29,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0000002,CAP-TASK-001,指令遵循固定输出,instruction_following,basic,1.0,DeepSeek-V4,DeepSeek,cn-east,2026-04-23 00:00:01,2026-04-23 00:00:06.341,2,200,5341,1483,CALIBRATION_OK,,100.0,True,严格文本匹配,exact_match,100.0,15,7,22,2.64e-05,,calibration-standard-v1,cea509923c9684e0,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0002882,CAP-TASK-001,指令遵循固定输出,instruction_following,basic,1.0,Minimax-M2.5,MiniMax,cn-east,2026-04-23 00:00:01,2026-04-23 00:00:01.696,2,200,696,195,CALIBRATION_OK,,100.0,True,严格文本匹配,exact_match,100.0,15,7,22,5.28e-05,,calibration-standard-v1,cea509923c9684e0,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0005762,CAP-TASK-001,指令遵循固定输出,instruction_following,basic,1.0,Qwen3.6-35B-A3B,Qwen,cn-east,2026-04-23 00:00:01,2026-04-23 00:00:01.391,2,200,391,142,CALIBRATION_OK,,100.0,True,严格文本匹配,exact_match,100.0,15,7,22,3.52e-05,,calibration-standard-v1,cea509923c9684e0,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0000722,CAP-TASK-002,结构化JSON输出,structured_output,basic,1.0,DeepSeek-V4,DeepSeek,cn-east,2026-04-23 00:00:01,2026-04-23 00:00:06.985,2,200,5985,1594,"{""status"":""ok"",""count"":2}",,100.0,True,JSON字段匹配 2/2,json_exact,100.0,18,12,30,3.6e-05,,calibration-standard-v1,e671844d1b3e28e2,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0003602,CAP-TASK-002,结构化JSON输出,structured_output,basic,1.0,Minimax-M2.5,MiniMax,cn-east,2026-04-23 00:00:01,2026-04-23 00:00:01.599,2,200,599,180,"{""status"":""ok"",""count"":2}",,100.0,True,JSON字段匹配 2/2,json_exact,100.0,18,12,30,7.2e-05,,calibration-standard-v1,e671844d1b3e28e2,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0006482,CAP-TASK-002,结构化JSON输出,structured_output,basic,1.0,Qwen3.6-35B-A3B,Qwen,cn-east,2026-04-23 00:00:01,2026-04-23 00:00:01.524,2,200,524,158,"{""status"":""ok"",""count"":2}",,100.0,True,JSON字段匹配 2/2,json_exact,100.0,18,12,30,4.8e-05,,calibration-standard-v1,e671844d1b3e28e2,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0001442,CAP-TASK-003,基础推理,reasoning,basic,1.0,DeepSeek-V4,DeepSeek,cn-east,2026-04-23 00:00:01,2026-04-23 00:00:08.027,2,200,7027,2260,391,,100.0,True,数值答案匹配,numeric_exact,100.0,7,1,8,9.6e-06,,calibration-standard-v1,c44e85a76c4b5ba7,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0004322,CAP-TASK-003,基础推理,reasoning,basic,1.0,Minimax-M2.5,MiniMax,cn-east,2026-04-23 00:00:01,2026-04-23 00:00:01.652,2,200,652,223,391,,100.0,True,数值答案匹配,numeric_exact,100.0,7,1,8,1.92e-05,,calibration-standard-v1,c44e85a76c4b5ba7,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0007202,CAP-TASK-003,基础推理,reasoning,basic,1.0,Qwen3.6-35B-A3B,Qwen,cn-east,2026-04-23 00:00:01,2026-04-23 00:00:01.565,2,200,565,153,391,,100.0,True,数值答案匹配,numeric_exact,100.0,7,1,8,1.28e-05,,calibration-standard-v1,c44e85a76c4b5ba7,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0002162,CAP-TASK-004,标准工具调用,tool_call,basic,1.0,DeepSeek-V4,DeepSeek,cn-east,2026-04-23 00:00:01,2026-04-23 00:00:08.206,2,200,7206,2116,,get_weather,100.0,True,工具名称匹配,tool_name,100.0,10,5,15,1.8e-05,,calibration-standard-v1,0d631558ac1fca29,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0005042,CAP-TASK-004,标准工具调用,tool_call,basic,1.0,Minimax-M2.5,MiniMax,cn-east,2026-04-23 00:00:01,2026-04-23 00:00:01.704,2,200,704,203,,get_weather,100.0,True,工具名称匹配,tool_name,100.0,10,5,15,3.6e-05,,calibration-standard-v1,0d631558ac1fca29,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0007922,CAP-TASK-004,标准工具调用,tool_call,basic,1.0,Qwen3.6-35B-A3B,Qwen,cn-east,2026-04-23 00:00:01,2026-04-23 00:00:01.870,2,200,870,340,,get_weather,100.0,True,工具名称匹配,tool_name,100.0,10,5,15,2.4e-05,,calibration-standard-v1,0d631558ac1fca29,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0000003,CAP-TASK-001,指令遵循固定输出,instruction_following,basic,1.0,DeepSeek-V4,DeepSeek,cn-east,2026-04-23 06:00:00,2026-04-23 06:00:05.263,1,200,5263,2032,CALIBRATION_OK,,100.0,True,严格文本匹配,exact_match,100.0,15,7,22,2.64e-05,,calibration-standard-v1,cea509923c9684e0,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0002883,CAP-TASK-001,指令遵循固定输出,instruction_following,basic,1.0,Minimax-M2.5,MiniMax,cn-east,2026-04-23 06:00:00,2026-04-23 06:00:00.553,1,200,553,199,CALIBRATION_OK,,100.0,True,严格文本匹配,exact_match,100.0,15,7,22,5.28e-05,,calibration-standard-v1,cea509923c9684e0,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0005763,CAP-TASK-001,指令遵循固定输出,instruction_following,basic,1.0,Qwen3.6-35B-A3B,Qwen,cn-east,2026-04-23 06:00:00,2026-04-23 06:00:00.329,1,200,329,88,CALIBRATION_OK,,100.0,True,严格文本匹配,exact_match,100.0,15,7,22,3.52e-05,,calibration-standard-v1,cea509923c9684e0,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0000723,CAP-TASK-002,结构化JSON输出,structured_output,basic,1.0,DeepSeek-V4,DeepSeek,cn-east,2026-04-23 06:00:00,2026-04-23 06:00:05.940,1,200,5940,1847,"{""status"":""ok"",""count"":2}",,100.0,True,JSON字段匹配 2/2,json_exact,100.0,18,12,30,3.6e-05,,calibration-standard-v1,e671844d1b3e28e2,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0003603,CAP-TASK-002,结构化JSON输出,structured_output,basic,1.0,Minimax-M2.5,MiniMax,cn-east,2026-04-23 06:00:00,2026-04-23 06:00:00.824,1,200,824,279,"{""status"":""ok"",""count"":2}",,100.0,True,JSON字段匹配 2/2,json_exact,100.0,18,12,30,7.2e-05,,calibration-standard-v1,e671844d1b3e28e2,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0006483,CAP-TASK-002,结构化JSON输出,structured_output,basic,1.0,Qwen3.6-35B-A3B,Qwen,cn-east,2026-04-23 06:00:00,2026-04-23 06:00:00.763,1,200,763,291,"{""status"":""ok"",""count"":2}",,100.0,True,JSON字段匹配 2/2,json_exact,100.0,18,12,30,4.8e-05,,calibration-standard-v1,e671844d1b3e28e2,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0001443,CAP-TASK-003,基础推理,reasoning,basic,1.0,DeepSeek-V4,DeepSeek,cn-east,2026-04-23 06:00:00,2026-04-23 06:00:06.878,1,200,6878,2254,391,,100.0,True,数值答案匹配,numeric_exact,100.0,7,1,8,9.6e-06,,calibration-standard-v1,c44e85a76c4b5ba7,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0004323,CAP-TASK-003,基础推理,reasoning,basic,1.0,Minimax-M2.5,MiniMax,cn-east,2026-04-23 06:00:00,2026-04-23 06:00:00.528,1,200,528,149,391,,100.0,True,数值答案匹配,numeric_exact,100.0,7,1,8,1.92e-05,,calibration-standard-v1,c44e85a76c4b5ba7,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0007203,CAP-TASK-003,基础推理,reasoning,basic,1.0,Qwen3.6-35B-A3B,Qwen,cn-east,2026-04-23 06:00:00,2026-04-23 06:00:00.860,1,200,860,337,391,,100.0,True,数值答案匹配,numeric_exact,100.0,7,1,8,1.28e-05,,calibration-standard-v1,c44e85a76c4b5ba7,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0002163,CAP-TASK-004,标准工具调用,tool_call,basic,1.0,DeepSeek-V4,DeepSeek,cn-east,2026-04-23 06:00:00,2026-04-23 06:00:07.154,1,200,7154,2696,,get_weather,100.0,True,工具名称匹配,tool_name,100.0,10,5,15,1.8e-05,,calibration-standard-v1,0d631558ac1fca29,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0005043,CAP-TASK-004,标准工具调用,tool_call,basic,1.0,Minimax-M2.5,MiniMax,cn-east,2026-04-23 06:00:00,2026-04-23 06:00:00.434,1,200,434,132,,get_weather,100.0,True,工具名称匹配,tool_name,100.0,10,5,15,3.6e-05,,calibration-standard-v1,0d631558ac1fca29,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0007923,CAP-TASK-004,标准工具调用,tool_call,basic,1.0,Qwen3.6-35B-A3B,Qwen,cn-east,2026-04-23 06:00:00,2026-04-23 06:00:00.931,1,200,931,338,,get_weather,100.0,True,工具名称匹配,tool_name,100.0,10,5,15,2.4e-05,,calibration-standard-v1,0d631558ac1fca29,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0000004,CAP-TASK-001,指令遵循固定输出,instruction_following,basic,1.0,DeepSeek-V4,DeepSeek,cn-east,2026-04-23 06:00:01,2026-04-23 06:00:06.206,2,200,5206,2073,CALIBRATION_OK,,100.0,True,严格文本匹配,exact_match,100.0,15,7,22,2.64e-05,,calibration-standard-v1,cea509923c9684e0,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0002884,CAP-TASK-001,指令遵循固定输出,instruction_following,basic,1.0,Minimax-M2.5,MiniMax,cn-east,2026-04-23 06:00:01,2026-04-23 06:00:01.860,2,200,860,249,CALIBRATION_OK,,100.0,True,严格文本匹配,exact_match,100.0,15,7,22,5.28e-05,,calibration-standard-v1,cea509923c9684e0,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0005764,CAP-TASK-001,指令遵循固定输出,instruction_following,basic,1.0,Qwen3.6-35B-A3B,Qwen,cn-east,2026-04-23 06:00:01,2026-04-23 06:00:01.767,2,200,767,286,CALIBRATION_OK,,100.0,True,严格文本匹配,exact_match,100.0,15,7,22,3.52e-05,,calibration-standard-v1,cea509923c9684e0,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0000724,CAP-TASK-002,结构化JSON输出,structured_output,basic,1.0,DeepSeek-V4,DeepSeek,cn-east,2026-04-23 06:00:01,2026-04-23 06:00:06.938,2,200,5938,2360,"{""status"":""ok"",""count"":2}",,100.0,True,JSON字段匹配 2/2,json_exact,100.0,18,12,30,3.6e-05,,calibration-standard-v1,e671844d1b3e28e2,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0003604,CAP-TASK-002,结构化JSON输出,structured_output,basic,1.0,Minimax-M2.5,MiniMax,cn-east,2026-04-23 06:00:01,2026-04-23 06:00:01.653,2,200,653,238,"{""status"":""ok"",""count"":2}",,100.0,True,JSON字段匹配 2/2,json_exact,100.0,18,12,30,7.2e-05,,calibration-standard-v1,e671844d1b3e28e2,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0006484,CAP-TASK-002,结构化JSON输出,structured_output,basic,1.0,Qwen3.6-35B-A3B,Qwen,cn-east,2026-04-23 06:00:01,2026-04-23 06:00:01.697,2,200,697,275,"{""status"":""ok"",""count"":2}",,100.0,True,JSON字段匹配 2/2,json_exact,100.0,18,12,30,4.8e-05,,calibration-standard-v1,e671844d1b3e28e2,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0001444,CAP-TASK-003,基础推理,reasoning,basic,1.0,DeepSeek-V4,DeepSeek,cn-east,2026-04-23 06:00:01,2026-04-23 06:00:08.080,2,200,7080,2471,391,,100.0,True,数值答案匹配,numeric_exact,100.0,7,1,8,9.6e-06,,calibration-standard-v1,c44e85a76c4b5ba7,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0004324,CAP-TASK-003,基础推理,reasoning,basic,1.0,Minimax-M2.5,MiniMax,cn-east,2026-04-23 06:00:01,2026-04-23 06:00:01.561,2,200,561,199,391,,100.0,True,数值答案匹配,numeric_exact,100.0,7,1,8,1.92e-05,,calibration-standard-v1,c44e85a76c4b5ba7,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0007204,CAP-TASK-003,基础推理,reasoning,basic,1.0,Qwen3.6-35B-A3B,Qwen,cn-east,2026-04-23 06:00:01,2026-04-23 06:00:01.584,2,200,584,174,391,,100.0,True,数值答案匹配,numeric_exact,100.0,7,1,8,1.28e-05,,calibration-standard-v1,c44e85a76c4b5ba7,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0002164,CAP-TASK-004,标准工具调用,tool_call,basic,1.0,DeepSeek-V4,DeepSeek,cn-east,2026-04-23 06:00:01,2026-04-23 06:00:08.224,2,200,7224,2078,,get_weather,100.0,True,工具名称匹配,tool_name,100.0,10,5,15,1.8e-05,,calibration-standard-v1,0d631558ac1fca29,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0005044,CAP-TASK-004,标准工具调用,tool_call,basic,1.0,Minimax-M2.5,MiniMax,cn-east,2026-04-23 06:00:01,2026-04-23 06:00:01.705,2,200,705,244,,get_weather,100.0,True,工具名称匹配,tool_name,100.0,10,5,15,3.6e-05,,calibration-standard-v1,0d631558ac1fca29,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0007924,CAP-TASK-004,标准工具调用,tool_call,basic,1.0,Qwen3.6-35B-A3B,Qwen,cn-east,2026-04-23 06:00:01,2026-04-23 06:00:01.731,2,200,731,229,,get_weather,100.0,True,工具名称匹配,tool_name,100.0,10,5,15,2.4e-05,,calibration-standard-v1,0d631558ac1fca29,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0000005,CAP-TASK-001,指令遵循固定输出,instruction_following,basic,1.0,DeepSeek-V4,DeepSeek,cn-east,2026-04-23 12:00:00,2026-04-23 12:00:05.115,1,200,5115,1951,CALIBRATION_OK,,100.0,True,严格文本匹配,exact_match,100.0,15,7,22,2.64e-05,,calibration-standard-v1,cea509923c9684e0,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0002885,CAP-TASK-001,指令遵循固定输出,instruction_following,basic,1.0,Minimax-M2.5,MiniMax,cn-east,2026-04-23 12:00:00,2026-04-23 12:00:00.573,1,200,573,149,CALIBRATION_OK,,100.0,True,严格文本匹配,exact_match,100.0,15,7,22,5.28e-05,,calibration-standard-v1,cea509923c9684e0,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0005765,CAP-TASK-001,指令遵循固定输出,instruction_following,basic,1.0,Qwen3.6-35B-A3B,Qwen,cn-east,2026-04-23 12:00:00,2026-04-23 12:00:00.402,1,200,402,130,CALIBRATION_OK,,100.0,True,严格文本匹配,exact_match,100.0,15,7,22,3.52e-05,,calibration-standard-v1,cea509923c9684e0,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0000725,CAP-TASK-002,结构化JSON输出,structured_output,basic,1.0,DeepSeek-V4,DeepSeek,cn-east,2026-04-23 12:00:00,2026-04-23 12:00:05.932,1,200,5932,2325,"{""status"":""ok"",""count"":2}",,100.0,True,JSON字段匹配 2/2,json_exact,100.0,18,12,30,3.6e-05,,calibration-standard-v1,e671844d1b3e28e2,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0003605,CAP-TASK-002,结构化JSON输出,structured_output,basic,1.0,Minimax-M2.5,MiniMax,cn-east,2026-04-23 12:00:00,2026-04-23 12:00:00.339,1,200,339,100,"{""status"":""ok"",""count"":2}",,100.0,True,JSON字段匹配 2/2,json_exact,100.0,18,12,30,7.2e-05,,calibration-standard-v1,e671844d1b3e28e2,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0006485,CAP-TASK-002,结构化JSON输出,structured_output,basic,1.0,Qwen3.6-35B-A3B,Qwen,cn-east,2026-04-23 12:00:00,2026-04-23 12:00:00.877,1,200,877,263,"{""status"":""ok"",""count"":2}",,100.0,True,JSON字段匹配 2/2,json_exact,100.0,18,12,30,4.8e-05,,calibration-standard-v1,e671844d1b3e28e2,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0001445,CAP-TASK-003,基础推理,reasoning,basic,1.0,DeepSeek-V4,DeepSeek,cn-east,2026-04-23 12:00:00,2026-04-23 12:00:06.852,1,200,6852,2601,391,,100.0,True,数值答案匹配,numeric_exact,100.0,7,1,8,9.6e-06,,calibration-standard-v1,c44e85a76c4b5ba7,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0004325,CAP-TASK-003,基础推理,reasoning,basic,1.0,Minimax-M2.5,MiniMax,cn-east,2026-04-23 12:00:00,2026-04-23 12:00:00.841,1,200,841,279,391,,100.0,True,数值答案匹配,numeric_exact,100.0,7,1,8,1.92e-05,,calibration-standard-v1,c44e85a76c4b5ba7,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0007205,CAP-TASK-003,基础推理,reasoning,basic,1.0,Qwen3.6-35B-A3B,Qwen,cn-east,2026-04-23 12:00:00,2026-04-23 12:00:00.775,1,200,775,205,391,,100.0,True,数值答案匹配,numeric_exact,100.0,7,1,8,1.28e-05,,calibration-standard-v1,c44e85a76c4b5ba7,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0002165,CAP-TASK-004,标准工具调用,tool_call,basic,1.0,DeepSeek-V4,DeepSeek,cn-east,2026-04-23 12:00:00,2026-04-23 12:00:07.179,1,200,7179,2335,,get_weather,100.0,True,工具名称匹配,tool_name,100.0,10,5,15,1.8e-05,,calibration-standard-v1,0d631558ac1fca29,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0005045,CAP-TASK-004,标准工具调用,tool_call,basic,1.0,Minimax-M2.5,MiniMax,cn-east,2026-04-23 12:00:00,2026-04-23 12:00:00.685,1,200,685,263,,get_weather,100.0,True,工具名称匹配,tool_name,100.0,10,5,15,3.6e-05,,calibration-standard-v1,0d631558ac1fca29,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0007925,CAP-TASK-004,标准工具调用,tool_call,basic,1.0,Qwen3.6-35B-A3B,Qwen,cn-east,2026-04-23 12:00:00,2026-04-23 12:00:00.717,1,200,717,278,,get_weather,100.0,True,工具名称匹配,tool_name,100.0,10,5,15,2.4e-05,,calibration-standard-v1,0d631558ac1fca29,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0000006,CAP-TASK-001,指令遵循固定输出,instruction_following,basic,1.0,DeepSeek-V4,DeepSeek,cn-east,2026-04-23 12:00:01,2026-04-23 12:00:05.957,2,200,4957,1584,CALIBRATION_OK,,100.0,True,严格文本匹配,exact_match,100.0,15,7,22,2.64e-05,,calibration-standard-v1,cea509923c9684e0,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0002886,CAP-TASK-001,指令遵循固定输出,instruction_following,basic,1.0,Minimax-M2.5,MiniMax,cn-east,2026-04-23 12:00:01,2026-04-23 12:00:01.446,2,200,446,172,CALIBRATION_OK,,100.0,True,严格文本匹配,exact_match,100.0,15,7,22,5.28e-05,,calibration-standard-v1,cea509923c9684e0,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0005766,CAP-TASK-001,指令遵循固定输出,instruction_following,basic,1.0,Qwen3.6-35B-A3B,Qwen,cn-east,2026-04-23 12:00:01,2026-04-23 12:00:01.512,2,200,512,162,CALIBRATION_OK,,100.0,True,严格文本匹配,exact_match,100.0,15,7,22,3.52e-05,,calibration-standard-v1,cea509923c9684e0,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0000726,CAP-TASK-002,结构化JSON输出,structured_output,basic,1.0,DeepSeek-V4,DeepSeek,cn-east,2026-04-23 12:00:01,2026-04-23 12:00:07.122,2,200,6122,1846,"{""status"":""wrong""}",,0.0,False,JSON字段匹配 0/2,json_exact,100.0,18,9,27,3.24e-05,,calibration-standard-v1,e671844d1b3e28e2,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0003606,CAP-TASK-002,结构化JSON输出,structured_output,basic,1.0,Minimax-M2.5,MiniMax,cn-east,2026-04-23 12:00:01,2026-04-23 12:00:01.594,2,200,594,157,"{""status"":""ok"",""count"":2}",,100.0,True,JSON字段匹配 2/2,json_exact,100.0,18,12,30,7.2e-05,,calibration-standard-v1,e671844d1b3e28e2,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
CAPRUN-0006486,CAP-TASK-002,结构化JSON输出,structured_output,basic,1.0,Qwen3.6-35B-A3B,Qwen,cn-east,2026-04-23 12:00:01,2026-04-23 12:00:01.404,2,200,404,142,"{""status"":""ok"",""count"":2}",,100.0,True,JSON字段匹配 2/2,json_exact,100.0,18,12,30,4.8e-05,,calibration-standard-v1,e671844d1b3e28e2,1.0,capability_probe,synthetic_assumption,synthetic_assumption,0.7.0
